y,x,street_count,highway,junction,geometry
19.0719539,72.8255083,4,,,POINT (72.8255083 19.0719539)
19.0722872,72.8330742,4,,,POINT (72.8330742 19.0722872)
19.0725461,72.8374262,4,,,POINT (72.8374262 19.0725461)
19.0721295,72.8260945,3,,,POINT (72.8260945 19.0721295)
19.0727018,72.8358304,4,,,POINT (72.8358304 19.0727018)
19.0726444,72.8366816,4,,,POINT (72.8366816 19.0726444)
19.0725827,72.832437,4,,,POINT (72.832437 19.0725827)
19.0729564,72.8340385,3,,,POINT (72.8340385 19.0729564)
19.0728394,72.8350316,4,,,POINT (72.8350316 19.0728394)
19.0728265,72.8319256,4,,,POINT (72.8319256 19.0728265)
19.0731437,72.831106,4,,,POINT (72.831106 19.0731437)
19.0746329,72.8630722,3,,,POINT (72.8630722 19.0746329)
19.0735686,72.8301958,4,traffic_signals,,POINT (72.8301958 19.0735686)
19.0740842,72.864593,3,,,POINT (72.864593 19.0740842)
19.074988,72.8606412,3,,,POINT (72.8606412 19.074988)
19.0735183,72.9028377,3,traffic_signals,,POINT (72.9028377 19.0735183)
19.0720506,72.8392594,3,,,POINT (72.8392594 19.0720506)
19.0735514,72.8394134,3,,,POINT (72.8394134 19.0735514)
19.0738296,72.8294123,4,,,POINT (72.8294123 19.0738296)
19.0737618,72.8374851,3,,,POINT (72.8374851 19.0737618)
19.0738378,72.8351588,4,,,POINT (72.8351588 19.0738378)
19.073798,72.8359548,4,,,POINT (72.8359548 19.073798)
19.0737734,72.8367671,4,,,POINT (72.8367671 19.0737734)
19.074817,72.862394,3,,,POINT (72.862394 19.074817)
19.0739635,72.8290209,3,,,POINT (72.8290209 19.0739635)
19.0740533,72.8331654,1,,,POINT (72.8331654 19.0740533)
19.0741726,72.8340791,4,,,POINT (72.8340791 19.0741726)
19.0751737,72.862496,3,,,POINT (72.862496 19.0751737)
19.0740924,72.8286618,4,,,POINT (72.8286618 19.0740924)
19.0742143,72.8258455,4,,,POINT (72.8258455 19.0742143)
19.0742278,72.8530294,3,,,POINT (72.8530294 19.0742278)
19.0744354,72.8246937,3,,,POINT (72.8246937 19.0744354)
19.0743535,72.8278977,4,,,POINT (72.8278977 19.0743535)
19.0751649,72.8375227,4,traffic_signals,,POINT (72.8375227 19.0751649)
19.0750196,72.8394119,4,,,POINT (72.8394119 19.0750196)
19.0752342,72.836045,4,,,POINT (72.836045 19.0752342)
19.0752009,72.8368167,4,,,POINT (72.8368167 19.0752009)
19.0751847,72.8422167,5,,,POINT (72.8422167 19.0751847)
19.0768603,72.8618114,5,,,POINT (72.8618114 19.0768603)
19.0753664,72.8341331,4,traffic_signals,,POINT (72.8341331 19.0753664)
19.0752663,72.8353407,4,,,POINT (72.8353407 19.0752663)
19.0755356,72.840458,3,,,POINT (72.840458 19.0755356)
19.0751404,72.8422697,3,,,POINT (72.8422697 19.0751404)
19.0753938,72.8334546,4,,,POINT (72.8334546 19.0753938)
19.0755854,72.8394728,4,,,POINT (72.8394728 19.0755854)
19.0754549,72.8326572,4,,,POINT (72.8326572 19.0754549)
19.0756351,72.8444749,1,,,POINT (72.8444749 19.0756351)
19.0753137,72.8260129,3,,,POINT (72.8260129 19.0753137)
